"BWB id"	"Titel"
"BWBR0012647"	"Rjj"
"BWBV0002924"	"EVEX I"
"BWBV0002924"	"EVEX II - test 6"
"BWBR0006596"	"Uitvoeringsregeling Kadasterwet"
"BWBR0006622"	"WVW94"
"BWBR0004163"	"Wet inkomensvoorziening oudere en - gedeeltelijk arbeidsongeschikte gewezen zelfstandigen"
"BWBR0004825"	"Reglement verkeersregels en verkeerstekens 1990"
"BWBR0006622"	"Wvw 1994"
"BWBR0006622"	"Wegenverkeerswet"
"BWBR0004826"	"Besluit administratieve bepalingen inzake het wegverkeer"
"BWBR0008974"	"Wet op de bijzondere medische verrichtingen"
"BWBR0014682"	"Wet veiligheid en kwaliteit van lichaamsmateriaal"
"BWBR0002697"	"Wet op de medisch hulpmiddelen"
"BWBR0031432"	"Besluit vergoeding voor buitengerechtelijke incassokosten"
"BWBR0031432"	"Staffel buitengerechtelijke incassokosten"
"BWBR0001827"	"WvRv"
"BWBV0002027"	"Agreement relating to refugee seamen"
"BWBR0001827"	"RV"
"BWBR0001827"	"WvBRv"
"BWBR0001827"	"Arbitragewet"
"BWBR0001827"	"Arbitragewet 1986"
"BWBR0001827"	"Rv"
"BWBR0001827"	"Wetboek van Burgerlijke Rechtsvordering"
"BWBR0001830"	"Ro"
"BWBR0001830"	"Wet op de Zamenstelling der Regterlijke Magt en het Beleid der Justitie van 18 april 1827"
"BWBR0001830"	"Wet op de Ruimteijke Ordening"
"BWBR0001830"	"WETRO"
"BWBR0001833"	"Alg. Wet 1822"
"BWBR0001834"	"Wet 16 mei 1829 Stb. 29"
"BWBR0001838"	"K"
"BWBR0001840"	"Gr.w"
"BWBR0001840"	"Gr.w."
"BWBR0001840"	"Gr.Wet"
"BWBR0001840"	"GW 1840"
"BWBR0001840"	"GW 1963"
"BWBR0001840"	"GW 1983"
"BWBR0001840"	"GRW"
"BWBR0001840"	"Gr.wet"
"BWBR0001840"	"Grw"
"BWBR0001841"	"Wet van 5 augustus 1850 tot regeling van het regt van onderzoek"
"BWBR0001841"	"Wet Parlementaire Enquête"
"BWBR0001842"	"Wet 27 okt. 1972 Stb. 578"
"BWBR0001844"	"Wet 22 april 1855 Stb. 33"
"BWBR0001849"	"Wet Beëdigde Vertalers"
"BWBR0001854"	"SR"
"BWBR0001855"	"Invoeringswet Sr"
"BWBR0001860"	"F"
"BWBR0001867"	"Waterstaatswet"
"BWBR0001870"	"Mijnwet"
"BWBR0001871"	"Wet houdende bepalingen omtrent het ondernemen van droogmakerijen en indijkingen"
"BWBR0001872"	"Besluit van 16 september 1905, tot vaststelling van een algemeenen maatregel van bestuur, bedoeld in de artikelen 50 en 50b der wet op het Notarisambt"
"BWBR0001872"	"KB 16 sept. 1905 Stb. 270"
"BWBR0001873"	"Besluit van 23 augustus 1907, tot vaststelling van den algemeenen maatregel van bestuur bedoeld in artikel 69A, eerste en tweede lid, der wet op het Notarisambt"
"BWBR0001875"	"Uitv.w Rechtsvorderingsverdrag 1905"
"BWBR0001877"	"Absintwet"
"BWBR0001879"	"Octrooiwet 1910"
"BWBR0001879"	"Row 1910"
"BWBR0001879"	"Row"
"BWBR0001879"	"1910 Row"
"BWBR0001881"	"Wet van 17 juli 1911, Stb. 215, houdende voorzienig in de bestaande onzekerheid ten aanzien van den vorm, waarin eeden, beloften en bevestigingen moeten worden afgelegd"
"BWBR0001882"	"Rompwet Instellingen Weldadigheid"
"BWBR0001886"	"Aw 1912"
"BWBR0001888"	"Zw"
"BWBR0001888"	"ZW 1952"
"BWBR0001891"	"Eedswet"
"BWBR0001898"	"Tramwegregl."
"BWBR0001902"	"Besluit van 5 januari 1921, tot uitvoering van artikel 6, 3de lid, en artikel 23, 3de lid der Warenwet (Staatsblad 1919, n°. 501)"
"BWBR0001903"	"WSv"
"BWBR0001903"	"SV"
"BWBR0001904"	"Besluit van 26 maart 1921, tot aanwijzing van de artikelen, welke volgens artikel 1 der Warenwet 1919 (Staatsblad n°. 581) zullen worden beschouwd als waren in den zin dier wet"
"BWBR0001907"	"Besluit van 22 september 1921, tot vaststelling van een Octrooireglement"
"BWBR0001923"	"Museumwet"
"BWBR0001925"	"Zuiderzeesteunwet 1925 Stb. 290"
"BWBR0001926"	"Invoeringswet Sv"
"BWBR0001937"	"Wet op de CAO"
"BWBR0001937"	"CAO 1927"
"BWBR0001939"	"1928 NSW"
"BWBR0001939"	"NSW 1928"
"BWBR0001943"	"Besluit van 6 juli 1929 tot regeling van de overbrenging naar de Rijksarchiefbewaarplaatsen van de registers der overledenen, opgemaakt ingevolge de Ordonnantie eener Belasting op het Regt van Successie van 4 October 1805"
"BWBR0001943"	"Besluit van 6 juli 1929, tot regeling van de overbrenging naar de Rijksarchiefbewaarplaatsen van de registers der overledenen, opgemaakt ingevolge de Ordonnantie eener Belasting op het Regt van Successie van 4 October 1805"
"BWBR0001947"	"Ambtenarenwet 1929"
"BWBR0001947"	"Ambtenarenwet '29"
"BWBR0001948"	"Wet van 13 december 1989 tot wijziging van onder meer de Wegenwet"
"BWBR0001951"	"Wet Strandvonderij"
"BWBR0001952"	"Wet van 19 december 1931, houdende regelen betreffende den rechtstoestand van de militaire ambtenaren"
"BWBR0001952"	"Militaire Ambtenaren Wet"
"BWBR0001952"	"Militaire Ambtenarenwet"
"BWBR0001952"	"MAW 1931"
"BWBR0001953"	"Wegenleggerbesl."
"BWBR0001959"	"Uitv.w Rechtsvorderingsverdrag Ned-Verenigd Koninkrijk 1932"
"BWBR0001964"	"Besluit van 3 november 1934, tot vaststelling van een algemeenen maatregel van bestuur, bedoeld in het eerste lid van artikel 10 van het Wetboek van Burgerlijke Regtsvordering"
"BWBR0001965"	"ROZ-Wet 1935"
"BWBR0001965"	"Wet van 22 juli 1935, tot in het leven roepen van een Naamloze Vennootschap Nederlandsche Omroep Zender Maatschappij (NOZEMA)"
"BWBR0001969"	"Warenwet 1935"
"BWBR0001973"	"Financieel Besl. Warenwet"
"BWBR0001973"	"Financieel Besluit Warenwet van 15 april 1936"
"BWBR0001975"	"Handboek Vergoedingen 2000"
"BWBR0001978"	"Wet Luchtvervoer 1936"
"BWBR0001979"	"Besluit van 10 september 1936, tot uitvoering van artikel 10, tweede lid, van de Schepenwet"
"BWBR0001980"	"Wet Weerkorpsen"
"BWBR0001985"	"Schepelingenbesl."
"BWBR0001987"	"WAVV"
"BWBR0001987"	"WAVV 1937"
"BWBR0001987"	"Wet AVV CAO"
"BWBR0001992"	"Koninklijk besluit van 2 juli 1938 houdende bepalingen ter uitvoering van de Wet op de weerkorpsen"
"BWBR0002000"	"Besluit van 9 januari 1940, tot vaststelling van regelen omtrent den Electriciteitsraad en commissies van dien Raad en omtrent het bureau van dien Raad"
"BWBR0002007"	"Besl. bijzondere gerechtshoven"
"BWBR0002014"	"Buitengewoon Besluit Arbeidsverhoudingen"
"BWBR0002014"	"BBA 1945"
"BWBR0002014"	"BBA1945"
"BWBR0002025"	"Groevenregl. 1947"
"BWBR0002032"	"WBP 1940-1945"
"BWBR0002035"	"WBPZO"
"BWBR0002043"	"Wet Kanselarijrechten"
"BWBR0002045"	"Besch. schuldregisters Ned. staatsleningen"
"BWBR0002052"	"Besluit van 22 oktober 1949, tot vaststelling van een algemene maatregel van bestuur, als bedoeld in artikel 3, zesde lid, en in artikel 39 der Wet buitengewoon pensioen"
"BWBR0002063"	"Wet economische delicten"
"BWBR0002063"	"Wed"
"BWBR0002075"	"Plantenziektewet"
"BWBR0002078"	"Besluit van 23 Juli 1951, houdende instelling Kruis voor Recht en Vrijheid"
"BWBR0002080"	"Wet Rechterlijke Indeling"
"BWBR0002083"	"Wet van 21 December 1951, houdende een onderstandsregeling ingevolge artikel 2 van de Garantiewet Burgerlijk Overheidspersoneel Indonesië"
"BWBR0002086"	"Besluit van 7 februari 1952, ter uitvoering van artikel 944, eerste lid, van het Wetboek van Koophandel, zoals dit artikel is vastgesteld bij de wet van 24 juni 1939, Stb. 201, houdende nieuwe wettelijke regeling van het binnenvaartrecht"
"BWBR0002089"	"Psw"
"BWBR0002089"	"PSW 1993"
"BWBR0002099"	"WOS"
"BWBR0002120"	"Zondagswet 1953"
"BWBR0002126"	"Coörd.WSV"
"BWBR0002126"	"Coördinatiewet (CSV)"
"BWBR0002126"	"Coördinatiewet Sociale Verzekering 2001"
"BWBR0002126"	"CwSV"
"BWBR0002127"	"BBH"
"BWBR0002127"	"BBH 1954"
"BWBR0002130"	"Vestigingswet Bedrijven"
"BWBR0002130"	"Vestigingswet Bedrijven 1964"
"BWBR0002135"	"Instellingsbesl. bedrijfschap schildersbedrijf"
"BWBR0002135"	"Besluit van 28 juni 1954, houdende instelling van een bedrijfschap voor het schildersbedrijf"
"BWBR0002136"	"Besluit van 28 juni 1954, houdende instelling van een bedrijfschap voor het stucadoors-, het terrazzo- en het steengaasstellersbedrijf"
"BWBR0002137"	"Besluit van 28 juni 1954, houdende instelling van een bedrijfschap voor het steenhouwersbedrijf"
"BWBR0002143"	"Wet 16 sept. 1954 Stb. 407"
"BWBR0002144"	"Wet arbo"
"BWBR0002144"	"Wet Arbo"
"BWBR0002144"	"Wet ARBO"
"BWBR0002144"	"Wet administratieve rechtspraak bedrijfsorganisatie"
"BWBR0002144"	"Wet administratieve rechtspraak bedrijfsorganisaties"
"BWBR0002144"	"Wet Bestuursrechtsprak Bedrijfsorganisatie"
"BWBR0002144"	"ARB"
"BWBR0002149"	"Instellingswet Produktschap Siergewassen"
"BWBR0002151"	"Instellingswet Produktschap Gedistilleerde Dranken"
"BWBR0002154"	"Statuut voor het Koninkrijk"
"BWBR0002155"	"Jachtwet 1954"
"BWBR0002169"	"Instellingsbesl. bedrijfschap voor de groothandel in eieren"
"BWBR0002185"	"Besluit van 18 Juni 1955, houdende uitvoering van artikel 9 van de Instellingswet Productschap voor Vee en Vlees"
"BWBR0002215"	"Instellingswet Bedrijfschap Pluimveehandel en -industrie"
"BWBR0002216"	"Besluit van 23 april 1956, houdende instelling van een bedrijfschap voor de binnenlandse groothandel en de bedrijven van commissionair en van tussenpersoon in bloemkwekerijprodukten en het bedrijf van het exporteren van bloemkwekerijprodukten"
"BWBR0002219"	"Wet Gebruik Friese Taal in het Bijzonder in het Rechtsverkee"
"BWBR0002226"	"Successiewet"
"BWBR0002226"	"SW 1956"
"BWBR0002227"	"Uitv.besl. SW"
"BWBR0002227"	"Uitv.besl. SW 1956"
"BWBR0002227"	"Uitvoeringsbesluit Successiewet"
"BWBR0002227"	"Besl. vrijstellingen successie- en schenkingsrecht, juridische fusie"
"BWBR0002228"	"Beroepsregl."
"BWBR0002230"	"Besluit van 20 augustus 1956, houdende uitvoering van artikel 8 van de Instellingswet Productschap voor Pluimvee en Eieren"
"BWBR0002232"	"Besluit mobilisatievrijstelling reserve personeel"
"BWBR0002235"	"Besluit van 3 oktober 1956, betreffende rechtspraak in ambtenarenzaken"
"BWBR0002242"	"Vleeskeuringsbesl."
"BWBR0002246"	"Waterleidingwet 1957"
"BWBR0002255"	"Wet van 23 oktober 1957, houdende gedeeltelijke compensatie voor de ingevolge de Algemene Ouderdomswet geheven premie over een pensioen, toegekend krachtens de Wet buitengewoon pensioen 1940-1945"
"BWBR0002256"	"Wet van 23 oktober 1957, houdende gedeeltelijke compensatie voor de ingevolge de Algemene Ouderdomswet geheven premie over een pensioen, toegekend krachtens de Wet buitengewoon pensioen zeelieden-oorlogsslachtoffers"
"BWBR0002261"	"Wet Samenstelling Burgerlijke Gerechten en Rechtspositie Rechterlijke Ambtenaren"
"BWBR0002261"	"Wet Bezoldiging Rechterlijke Ambtenaren"
"BWBR0002267"	"Lvw"
"BWBR0002269"	"Pw 1958"
"BWBR0002293"	"Besl. registratie justitiële gegevens"
"BWBR0002299"	"Besluit van 1 december 1958, houdende uitvoering van artikel 4, eerste lid, onder a, van de Instellingswet Productschap voor Vee en Vlees"
"BWBR0002306"	"Uitv.w Rechtsvorderingsverdrag 1954"
"BWBR0002310"	"Besluit van 2 februari 1959, tot regeling van het ten overstaan van de faculteit der rechtsgeleerdheid af te leggen notariële staatsexamen"
"BWBR0002312"	"Wet 9 april 1959 Stb. 140"
