"CELEX"	"Alias"
"32008R0767"	"VIS-verordening"
"32009R0810"	"Visumcode"
"22009A0610(01)"	"Verdrag van Lugano 2007"
"22009A0610(01)"	"Verdrag betreffende de rechterlijke bevoegdheid, de erkenning en de tenuitvoerlegging van beslissingen in burgerlijke en handelszaken 2007"
"22009A0610(01)"	"Verdrag van Lugano (2007)"
"22009A0610(01)"	"EVEX IIIII"
"32011L0024"	"Patiëntenrichtlijn"
"31976L0207"	"Richtlijn inzake de gelijke behandeling van mannen en vrouwen bij de toegang tot en bij arbeid"
"32003L0059"	"Richtlijn vakbekwaamheid bestuurders"
"32009R0491"	"integrale-GMO-verordening"
"32014R0596"	"Verordening marktmisbruik"
"32014L0030"	"EMC-richtlijn"
"32012R1024"	"IMI-verordening"
"32012R0650"	"Europese Erfrechtverordening"
"32013L0034"	"EU-richtlijn jaarrekeningen"
"32003L0088"	"Europese Arbeidstijdenrichtlijn"
"31993L0013"	"Richtlijn oneerlijke bedingen in consumentenovereenkomsten"
"32013L0032"	"Procedurerichtlijn"
"32003L0071"	"Prospectusrichtlijn"
"32004L0038"	"Richtlijn 2004/38/EG van het Europees Parlement en de Raad van 29 april 2004 betreffende het recht van vrij verkeer en verblijf op het grondgebied van de lidstaten voor de burgers van de Unie en hun familieleden, tot wijziging van Verordening (EEG) nr. 1612/68 en tot intrekking van de Richtlijnen 64/221/EEG, 68/360/EEG, 72/194/EEG, 73/148/EEG, 75/34/EEG, 75/35/EEG, 90/365/EEG en 93/96/EEG"
"32004L0040"	"achttiende bijzondere richtlijn in de zin van artikel 16, lid 1, van Richtlijn 89/391/EEG"
"31999L0092"	"vijftiende bijzondere richtlijn in de zin van artikel 16, lid 1, van Richtlijn 89/391/EEG"
"32009L0104"	"tweede bijzondere richtlijn in de zin van artikel 16, lid 1, van Richtlijn 89/391/EEG"
"31990L0270"	"vijfde bijzondere richtlijn in de zin van artikel 16, lid 1, van Richtlijn 89/391/EEG"
"31983L0477"	"tweede bijzondere richtlijn in de zin van artikel 8 van Richtlijn 80/1107/EEG"
"31998L0024"	"14e bijzondere richtlijn in de zin van artikel 16, lid 1, van Richtlijn 89/391/EEG"
"32004L0037"	"zesde bijzondere richtlijn in de zin van artikel 16, lid 1, van Richtlijn 89/391/EEG"
"31990L0679"	"zevende bijzondere richtlijn in de zin van artikel 16, lid 1, van Richtlijn 89/391/EEG"
"31992L0057"	"achtste bijzondere richtlijn in de zin van artikel 16, lid 1, van Richtlijn 89/391/EEG"
"31992L0058"	"negende bijzondere richtlijn in de zin van artikel 16, lid 1, van Richtlijn 89/391/EEG"
"31992L0085"	"tiende bijzondere richtlijn in de zin van artikel 16, lid 1, van Richtlijn 89/391/EEG"
"32002L0020"	"Machtigingsrichtlijn"
"32009L0136"	"Richtlijn elektronische communicatienetwerken en -diensten"
"31993L0022"	"Richtlijn beleggingsdiensten"
"31993L0022"	"Richtlijn beleggingsdiensten"
"32014L0038"	"Richtlijn strijd tegen geluidshinder"
"32010L0013"	"richtlijn audiovisuele mediadiensten"
"32002L0058"	"richtlijn betreffende privacy en elektronische communicatie"
"31993L0013"	"Europese Richtlijn oneerlijke bedingen"
"32004L0109"	"Transparantierichtlijn"
"32004L0049"	"Spoorwegveiligheidsrichtlijn"
"32009L0022"	"Richtlijn ADR consumenten"
"32001L0081"	"NEC-richtlijn"
"32001L0042"	"SMB-richtlijn"
"32000L0031"	"Richtlijn inzake elektronische handel"
"32009L0138"	"Solvency II richtlijn"
"32009L0138"	"Solvabiliteit II"
"32007L0044"	"Antonveneta-richtlijn"
"32008L0115"	"Terugkeerrichtlijn"
"31998L0044"	"Biotechnologierichtlijn"
"31998L0044"	"Biotechrichtlijn"
"32013L0033"	"Opvangrichtlijn"
"31996L0009"	"Databankenrichtlijn"
"32001L0084"	"Volgrecht-richtlijn"
"32009L0081"	"Defensierichtlijn"
"32000L0043"	"anti-rassendiscriminatierichtlijn"
"32006L0054"	"Herschikkingsrichtlijn"
"32004L0025"	"De dertiende EG-richtlijn"
"32008L0104"	"De Europese Uitzendrichtlijn"
"32004L0018"	"Richtlijn nutssectoren"
"32000X1218(01)"	"Handvest grondrechten EU"
"31962R0017"	"Kartelverordening"
"31967L0227"	"Eerste EG-Richtlijn OB"
"32004L0018"	"Europese Aanbestedingsrichtlijn"
"31967L0227"	"Eerste Richtlijn OB"
"31967L0227"	"1e EG-Richtlijn OB"
"31967L0227"	"Eerste BTW-Richtlijn"
"31967L0228"	"Tweede BTW-Richtlijn"
"31967L0228"	"Tweede EG-Richtlijn OB"
"31967L0228"	"Tweede Richtlijn OB"
"31967L0228"	"2e EG-Richtlijn OB"
"31968L0151"	"1e EG-Richtlijn harmonisatie vennootschapsrecht"
"31968L0151"	"Eerste EG-Richtlijn harmonisatie vennootschapsrecht"
"31969L0463"	"3e EG-Richtlijn OB"
"31969L0463"	"Derde EG-Richtlijn OB"
"31969L0463"	"Derde Richtlijn OB"
"31969L0463"	"Derde BTW-richtlijn"
"31975L0442"	"Kaderrichtlijn afvalstoffen"
"31976L0160"	"Zwemwaterrichtlijn"
"31976L0769"	"Stoffenrichtlijn"
"31977L0091"	"2e EG-Richtlijn coördinatie vennootschapsrecht"
