"Titel"	"Opmerking"
"|EMMANUEL"	"Eigen naam test 8"
"|KOVACS"	"Rechter bij de CRvB"
"|HERRMANN"	"Raadsheer in de Hoge Raad"
"|CIVIC"	"Auto (Honda)"
"|GUNTER"	"Naam griffier bij de CRvB - MvO"
"|ZOON"	"Geen dochter"
"|ABO"	"afkorting voor abonnement"
"|DOKIC"	"achternaam komt in een ander verband voor op rechtspraak -JS"
"|WOMEN ON WAVES"	"naam komt voor in een ander verband - JS"
"|VERES"	"naam stichting - JS"
"|DEMETER"	"(archarisch bedrijf) en keurmerk  - JS"
"|TEHRANI"	"(Engels) dialect in het persisch/ komt een keer voor op rechtspraak.  JS"
"|ORLOV"	"1 uitspraak op rechtspraak waarin deze naam veelvoorkomt -JS"
"|PEKER"	"Achternaam - Komt 3 maal voor op rechtspraak. Geen verwijzingen naar de EHRM uitspraak - JS"
"|KARA"	"achternaam advocaat - JS"
"|SCHUMMER"	"achternaam advocaat die 3 keer voorkomt op rechtspraak"
"|LEGRAND"	"achternaam advocaat die twee keer voor op rechtspraak voorkomt. Geen enkele verwijzing naar de EHRM uitspraak - JS"
"|SCHUTH"	"achternaam advocaat die vaak voorkomt op rechtspraak - JS"
"|SUNBUL"	"achternaam advocaat die vaak voorkomt op rechtspraak - JS"
"|POPESCU"	"achternaam advocaat die vaak voorkomt op rechtspraak - JS"
"|GULER"	"achternaam advocaat die veel procedeert in sociale zekerheidszaken - JS"
"|BERGMANN"	"achternaam advocaat die veel procedeert in vreemdeling zaken - JS"
"|RAHMAN"	"achternaam advocaat die veel voorkomt op rechtspraak"
"|KLEYN"	"achternaam advocaat die veelvoorkomt op rechtspraak.nl- JS"
"|KAYA"	"achternaam advocaat en psychiater die geregeld voorkomen in rechtspraak - JS"
"|GRACA"	"achternaam advocaat- JS"
"|DARMON"	"achternaam A-G - JS"
"|HUGHES"	"achternaam arts/alias HvJ uitspraak ( C-9/02) - JS"
"|TOMIC"	"achternaam die driemaal op rechtspraak voorkomt in een ander verband - JS"
"|MLADIN"	"achternaam die in een ander verband voorkomt -JS"
"|PETROV"	"achternaam die in een ander verband voorkomt -JS"
"|ERGIN"	"achternaam die twee keer voorkomt. Geen verwijzing naar de uitspraak van het EHRM gevonden  -JS"
"|HUSSAIN"	"achternaam die vaak voorkomt- JS"
"|VAN GASTEL"	"achternaam die veel in een ander verband voorkomt - JS"
"|COSMAN"	"achternaam die veel in een ander verband voorkomt - JS"
"|DUDEK"	"achternaam die voorkomt -JS"
"|SUK"	"achternaam en afkorting die voorkomt op rechtspraak - JS"
"|MOULIN"	"achternaam en andere aanduidingen op rechtspraak - JS"
"|EWERT"	"achternaam en bedrijfsnaam - JS"
"|COX"	"achternaam en bedrijfsnaam - JS"
"|KOCH"	"achternaam en bedrijsnaam die vaak voorkomen in een ander verband"
"|SOARES"	"achternaam en gebruikte alias voor HR 19 december 2006, LJN AZ2101 - JS"
"|ULU"	"achternaam en naam van een moskee die voorkomen op rechtspraak - JS"
"|ANTONI"	"achternaam en naam van een school - JS"
"|JORDAN"	"achternaam en naam van school -JS"
"|SARKOZI"	"achternaam Franse president - JS"
"|GORSKI"	"achternaam gedragsdeskundige, twee uitspraken gevonden. Geen verwijzing naar de EHRM uitspraak gevonden - JS"
"|BENNETT"	"achternaam gemachtigde"
"|RAUSCH"	"achternaam gemachtigde - JS"
"|AKALIN"	"achternaam gemachtigde. Verwijzing naar de uitspraak van het EHRM niet gevonden -JS"
"|ARSLAN"	"achternaam gemachtigde/advocaat die veel voorkomt - JS"
"|SHARMA"	"achternaam griffier die vaak voorkomt op rechtspraak - JS"
"|DOBROV"	"achternaam griffier die zo'n 10 keer voorkomt op rechtspraak -JS"
"|JOSTEN"	"achternaam griffier en rechter die vaak voorkomt op rechtspraak - JS"
"|MARCON"	"achternaam in ander verband - JS"
"|DORE"	"achternaam in een ander verband -JS"
"|AYAN"	"achternaam komt in ander verband voor op rechtspraak - JS"
"|POLANSKI"	"achternaam komt in ander verband voor op rechtspraak - JS"
"|CHERIF"	"achternaam komt in een ander verband veel voor - JS"
"|MARTYNOV"	"achternaam komt op rechtspraak voor in een ander verband - JS"
"|KAHRAMAN"	"achternaam komt veelvuldig in ander verband voor op rechtspraak -JS"
"|YILDIZ"	"achternaam komt veelvuldig in ander verband voor op rechtspraak -JS"
"|RUMPF"	"achternaam komt voor in ander verband op rechtspraak - JS"
"|SOTI"	"achternaam komt voor in ander verband op rechtspraak - JS"
"|EMIN"	"achternaam komt voor in ander verband op rechtspraak - JS"
"|SOLOMUN"	"achternaam tolk - JS"
"|YORDANOVA"	"achternaam tolk die meerdere keren voorkomt op rechtspraak - JS"
"|FINKE"	"achternaam van advocaat die vaak voorkomt op rechtspraak -JS"
"|AYDIN"	"achternaam van advocaat en verzekeringsarts en bedrijfsnaam - JS"
"|MASSARO"	"achternaam van advocaat/gemachtigde die vaak voorkomt op rechtspraak -JS"
"|VOIGT"	"achternaam van een gemachtigde die in vele uitspraken voorkomt -JS"
"|BARKER"	"achternaam van een gemachtigde die veel voorkomt - JS"
"|SOKOLOV"	"achternaam wordt in een ander verband gebruikt - JS"
"|IPSEN"	"achternaam wordt in een ander verband gebruikt - JS"
"|KONYA"	"achternaam, plaatsnaam, naam ziekenhuis - JS"
"|EWALD"	"Achternaam. Komt 1 keer voor  op rechtspraak -JS"
"|WELLER"	"achternaam/bedrijfsnaam komt veel voor -JS"
"|LA ROSA"	"achternaam/naam caf� -JS"
"|SW"	"afkoring -JS"
"|SOW"	"afkorting - JS"
"|GATT"	"afkorting - JS"
"|BOZ"	"afkorting - JS"
"|CIN"	"afkorting - JS"
"|ABI"	"afkorting - JS"
"|GIC"	"afkorting - JS"
"|ION"	"afkorting - JS"
"|ORAC"	"afkorting - JS"
"|ABA"	"afkorting - JS"
"|GUR"	"afkorting - JS"
"|RINAS"	"afkorting - JS"
"|OZ"	"afkorting - JS"
"|VERK"	"afkorting - JS"
"|IVKO"	"afkorting - JS"
"|SOS"	"afkorting - JS"
"|BIBIC"	"afkorting - JS"
"|ISAR"	"afkorting - JS"
"|TUR"	"afkorting - JS"
"|AHO"	"afkorting - JS"
"|ARI"	"afkorting - JS"
"|TUS"	"afkorting - JS"
"|TAN"	"afkorting - JS"
"|SOVA"	"afkorting - JS"
"|GOS"	"afkorting - JS"
"|BAZ"	"afkorting - JS"
"|ALAY"	"afkorting - JS"
"|COC"	"afkorting - JS"
"|NIVA"	"afkorting - JS"
"|SAR"	"afkorting - JS"
"|ONG"	"afkorting - JS"
"|PLA"	"afkorting - JS"
"|ELO"	"afkorting - JS"
"|SIZ"	"afkorting - JS"
"|POSS"	"afkorting - JS"
"|ONK"	"afkorting - JS"
"|VO"	"afkorting - JS"
"|SERT"	"afkorting - JS"
"|BEC"	"afkorting - JS"
"|WEH"	"afkorting - JS"
"|SOC"	"afkorting - JS"
"|PIO"	"afkorting - JS"
"|BARIM"	"afkorting - JS"
"|AKA"	"afkorting - JS"
"|OLL"	"afkorting - JS"
"|SUR"	"afkorting - JS"
"|A.O."	"afkorting - JS"
"|ABAS"	"afkorting - JS"
"|URE"	"afkorting - JS"
"|BAMMER"	"afkorting - JS"
"|SIM"	"afkorting - JS"
"|WAIS"	"afkorting - JS"
"|O.A."	"afkorting - JS"
