"Titel"	"Opmerking"
"Briefwisseling"	"Zit in CELEX"
"Type new alias-titel here"	"BWB"
"INTERNATIONAL LABOUR CONFERENCE"	"BWB"
"Centraal Kantmeldingenregister"	"BWB"
"Wijzigingsbesluit Reglement I"	"BWB"
"Voorwerpen van geringe waarde"	"BWB"
"INTERNATIONAL RICE COMMISSION"	"BWB"
"Verzoeken om rentevergoeding"	"BWB"
"Uitstel van eerste oefening"	"BWB"
"Sluiting IJsselmeervisserij"	"BWB"
"Tweede Aanvullend Protocol"	"BWB"
"relating to refugee seamen"	"BWB"
"Regeling hardheidsclausule"	"BWB"
"Afschrijving op zeeschepen"	"BWB"
"Administrative Arrangement"	"BWB"
"Verklaring vakbekwaamheid"	"BWB"
"Verhuur van jachtrechten"	"BWB"
"Vaccinatie tegen pokken"	"BWB"
"Programma Leidsche Rijn"	"BWB"
"Penitentiaire maatregel"	"BWB"
"Motorrijtuigenbelasting"	"BWB"
"Afgeleide identificatie"	"BWB"
"Nadere regels subsidie"	"BWB"
"Bescherming van vogels"	"BWB"
"Ambulancehulpverlening"	"BWB"
"Aftrek fictieve kosten"	"BWB"
"Administratief Akkoord"	"BWB"
"Verordening ledenraad"	"BWB"
"Termijnoverschrijding"	"BWB"
"Subsidieregeling 2005"	"BWB"
"Regeling certificaten"	"BWB"
"Rangschikkingsbesluit"	"BWB"
"Procurement agreement"	"BWB"
"Cursus Samen Bevallen"	"BWB"
"Bekendmakingsregeling"	"BWB"
"Aanwijzing ambtenaren"	"BWB"
"Uitvoeringsbesluiten"	"BWB"
"Overnameovereenkomst"	"BWB"
"Consignatiezendingen"	"BWB"
"Bekendmakingsbesluit"	"BWB"
"Overlappende claims"	"BWB"
"Financieel Protocol"	"BWB"
"Durfkapitaalfondsen"	"BWB"
"Bestuursverordening"	"BWB"
"Assurantiebelasting"	"BWB"
"Aanvullend Protocol"	"BWB"
"Recht van erfpacht"	"BWB"
"LEAGUE OF NATIONS."	"BWB"
"Academisch Statuut"	"BWB"
"LEAGUE OF NATIONS"	"BWB"
"Waarborgregeling"	"BWB"
"Stageverordening"	"BWB"
"Regeling werkmap"	"BWB"
"Beroepsreglement"	"BWB"
"Ontslagbesluit"	"BWB"
"Groen beleggen"	"BWB"
"Afkoopregeling"	"BWB"
"DÉCLARATION."	"BWB"
"Overgangswet"	"BWB"
"Milieukosten"	"BWB"
"CONVENTION."	"BWB"
"Open Skies"	"BWB"
"Huurbeleid"	"BWB"
"FINAL ACTS"	"BWB"
"CONVENTION"	"BWB"
"Wet samen"	"BWB"
"Referenda"	"BWB"
"Parlatino"	"BWB"
"Kraamzorg"	"BWB"
"Constante"	"BWB"
"Statuut"	"BWB"
"Euratom"	"BWB"
"CAO"	"BWB"
"DÉCLARATION"	"BWB"
"Besluit"	"MvO Zit in CELEX"
"Faillissementskosten"	"MvO"
"mededeling"	"MvO Zit in CELEX"
"Mededeling"	"MvO Zit in CELEX"
"/* Titel in deze taalversie ontbreekt */#"	"Deze ""titel"" komt vaak voor in CELEX."
"/* No title for this language version */#"	"Komt ook voor in CELEX."
"Bericht aan de lezer"
