"BWB id"	"Titel"
"BWBR0007739"	"Wet tegemoetkoming studiekosten"
"BWBR0006064"	"Uitvoeringsbesluit W.C.B.O."
"BWBR0004811"	"AVW"
"BWBR0004811"	"Arbeidsvoorzieningswet"
"BWBR0003070"	"Besluit experiment vervroegde uittreding onderwijzend personeel"
"BWBR0002669"	"Besluit vaststelling modellen van de monsterrol ex artikel 6 van het Schepelingenbesluit"
"BWBR0002235"	"Besluit rechtspraak in ambtenarenzaken"
"BWBR0001873"	"Besluit instelling Kamers van Toezicht ex artikelen 50 en 50b der wet op het Notarisambt"
"BWBR0003011"	"AAW"
"BWBR0003011"	"Algemene Arbeidsongeschiktheidswet"
